,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.005455424000501807,271.0,0.0,500,0.3,1000
1,1,0.034582480000608484,286.0,2.0,500,0.3,1000
2,2,0.05590020900035597,291.0,4.0,500,0.3,1000
3,3,0.07671220800057199,291.0,5.0,500,0.3,1000
4,4,0.09830979100024706,293.0,7.0,500,0.3,1000
5,5,0.12262613399980182,298.0,9.0,500,0.3,1000
6,6,0.1493430000000444,303.0,11.0,500,0.3,1000
7,7,0.1753065120001338,303.0,12.0,500,0.3,1000
8,8,0.2012763869997798,304.0,14.0,500,0.3,1000
9,9,0.22639624700059358,305.0,16.0,500,0.3,1000
10,10,0.25289721799981635,310.0,18.0,500,0.3,1000
11,11,0.27840550700057065,311.0,20.0,500,0.3,1000
12,12,0.30514089799999056,317.0,22.0,500,0.3,1000
13,13,0.33001742099986586,317.0,23.0,500,0.3,1000
14,14,0.35445335900021746,320.0,25.0,500,0.3,1000
15,15,0.37932374100000743,320.0,26.0,500,0.3,1000
16,16,0.40302090200020757,320.0,27.0,500,0.3,1000
17,17,0.427682372000163,324.0,29.0,500,0.3,1000
18,18,0.4537860680002268,324.0,30.0,500,0.3,1000
19,19,0.4787928860005195,324.0,31.0,500,0.3,1000
20,20,0.5026587740003379,330.0,33.0,500,0.3,1000
21,21,0.5261055460005082,332.0,35.0,500,0.3,1000
22,22,0.5511350770002537,334.0,37.0,500,0.3,1000
23,23,0.574808614000176,338.0,39.0,500,0.3,1000
24,24,0.5995094979998612,338.0,40.0,500,0.3,1000
25,25,0.6231539110003723,341.0,42.0,500,0.3,1000
26,26,0.646603848000268,341.0,43.0,500,0.3,1000
27,27,0.6704983800000264,343.0,45.0,500,0.3,1000
28,28,0.6974270330001673,350.0,47.0,500,0.3,1000
29,29,0.7218522109997139,350.0,48.0,500,0.3,1000
30,30,0.7463516870002422,350.0,49.0,500,0.3,1000
31,31,0.7698933669998951,352.0,51.0,500,0.3,1000
32,32,0.7943408649998673,352.0,52.0,500,0.3,1000
33,33,0.8179110190003485,354.0,54.0,500,0.3,1000
34,34,0.8415060490005999,357.0,56.0,500,0.3,1000
35,35,0.8667528770001809,358.0,58.0,500,0.3,1000
36,36,0.8897507270003189,359.0,60.0,500,0.3,1000
37,37,0.9151566540003842,361.0,62.0,500,0.3,1000
38,38,0.939428603000124,364.0,64.0,500,0.3,1000
39,39,0.9624405590002425,364.0,65.0,500,0.3,1000
40,40,0.9862923010005034,368.0,67.0,500,0.3,1000
41,41,1.0094430680001096,368.0,68.0,500,0.3,1000
42,42,1.0334453909999866,368.0,69.0,500,0.3,1000
43,43,1.0563308000000688,368.0,70.0,500,0.3,1000
44,44,1.0788832449998154,369.0,72.0,500,0.3,1000
45,45,1.1014340749998155,371.0,74.0,500,0.3,1000
46,46,1.127471116000379,372.0,76.0,500,0.3,1000
47,47,1.1533273679997365,375.0,78.0,500,0.3,1000
48,48,1.1790016080003625,375.0,79.0,500,0.3,1000
49,49,1.2055909850005264,375.0,80.0,500,0.3,1000
50,50,1.229737579000357,375.0,81.0,500,0.3,1000
51,51,1.2549188749999303,380.0,83.0,500,0.3,1000
52,52,1.2777644690004308,380.0,84.0,500,0.3,1000
53,53,1.3014173270003084,380.0,85.0,500,0.3,1000
54,54,1.3258998520004752,380.0,86.0,500,0.3,1000
55,55,1.3486598449999292,380.0,87.0,500,0.3,1000
56,56,1.3714607749998322,380.0,88.0,500,0.3,1000
57,57,1.3952658799998972,381.0,90.0,500,0.3,1000
58,58,1.4205441570002222,386.0,92.0,500,0.3,1000
59,59,1.4447256769999512,386.0,93.0,500,0.3,1000
60,60,1.4693963440004154,386.0,94.0,500,0.3,1000
61,61,1.4928121580005609,386.0,95.0,500,0.3,1000
62,62,1.5169227850001334,388.0,97.0,500,0.3,1000
63,63,1.5400976669998272,388.0,98.0,500,0.3,1000
64,64,1.5634161680000034,391.0,100.0,500,0.3,1000
65,65,1.5859682509999402,391.0,101.0,500,0.3,1000
66,66,1.608598050999717,391.0,102.0,500,0.3,1000
67,67,1.632283900999937,391.0,103.0,500,0.3,1000
68,68,1.6574027389997354,394.0,105.0,500,0.3,1000
69,69,1.6831138580000697,396.0,107.0,500,0.3,1000
70,70,1.7075682300001063,396.0,108.0,500,0.3,1000
71,71,1.7314331770003264,397.0,110.0,500,0.3,1000
72,72,1.7544973109997954,397.0,111.0,500,0.3,1000
73,73,1.7785704779998923,398.0,113.0,500,0.3,1000
74,74,1.8027419179998105,399.0,115.0,500,0.3,1000
75,75,1.8255868910000572,399.0,116.0,500,0.3,1000
76,76,1.8492752760002986,399.0,117.0,500,0.3,1000
77,77,1.8737089090000154,400.0,119.0,500,0.3,1000
78,78,1.902122798000164,401.0,121.0,500,0.3,1000
79,79,1.9314246929998262,403.0,123.0,500,0.3,1000
80,80,1.9599900470002467,404.0,125.0,500,0.3,1000
81,81,1.9877402809997875,404.0,126.0,500,0.3,1000
82,82,2.0135831879997568,404.0,127.0,500,0.3,1000
83,83,2.038139481000144,404.0,128.0,500,0.3,1000
84,84,2.065105634000247,405.0,130.0,500,0.3,1000
85,85,2.089728632000515,405.0,131.0,500,0.3,1000
86,86,2.112716714000271,406.0,133.0,500,0.3,1000
87,87,2.136103763000392,408.0,135.0,500,0.3,1000
88,88,2.1606998010001917,408.0,136.0,500,0.3,1000
89,89,2.1866369839999606,410.0,138.0,500,0.3,1000
90,90,2.210708638000142,410.0,139.0,500,0.3,1000
91,91,2.2342559079997955,410.0,140.0,500,0.3,1000
92,92,2.2574961629998143,410.0,141.0,500,0.3,1000
93,93,2.281455135000215,410.0,142.0,500,0.3,1000
94,94,2.3058727779998662,410.0,143.0,500,0.3,1000
95,95,2.328587928000161,412.0,145.0,500,0.3,1000
96,96,2.3527236720001383,412.0,146.0,500,0.3,1000
97,97,2.376360871000543,412.0,147.0,500,0.3,1000
98,98,2.3989298860005874,416.0,149.0,500,0.3,1000
99,99,2.423611254000207,416.0,150.0,500,0.3,1000
