,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
25257,1,0.0016928949999055476,4.0,25321.0,31,1000,31
25258,2,0.0017084040000554523,4.0,25322.0,31,1000,31
25259,3,0.0017208480003318982,4.0,25323.0,31,1000,31
25260,4,0.0017320090000794153,4.0,25324.0,31,1000,31
25261,5,0.0017430890002287924,4.0,25325.0,31,1000,31
25262,6,0.0017593299999134615,4.0,25326.0,31,1000,31
25263,7,0.00177040099970327,4.0,25327.0,31,1000,31
25264,8,0.001783245000297029,4.0,25328.0,31,1000,31
25265,9,0.0017957680001927656,4.0,25329.0,31,1000,31
25266,10,0.0018084619996443507,4.0,25330.0,31,1000,31
25267,11,0.0018196430000898545,4.0,25331.0,31,1000,31
25268,12,0.0018315349998374586,4.0,25332.0,31,1000,31
25269,13,0.0018432670003676321,4.0,25333.0,31,1000,31
25270,14,0.0018564519996289164,4.0,25334.0,31,1000,31
25271,15,0.0018685650002225884,4.0,25335.0,31,1000,31
25272,16,0.001880838000033691,4.0,25336.0,31,1000,31
25273,17,0.0018943830000353046,4.0,25337.0,31,1000,31
25274,18,0.0019066459999521612,4.0,25338.0,31,1000,31
25275,19,0.00191866899967863,4.0,25339.0,31,1000,31
25276,20,0.0019313120001243078,4.0,25340.0,31,1000,31
25277,21,0.0019433150000622845,4.0,25341.0,31,1000,31
25278,22,0.0019559590000426397,4.0,25342.0,31,1000,31
25279,23,0.001968552000107593,4.0,25343.0,31,1000,31
25280,24,0.0019828989998131874,4.0,25344.0,31,1000,31
25281,25,0.0019973159996879986,4.0,25345.0,31,1000,31
25282,26,0.002012924999689858,4.0,25346.0,31,1000,31
25283,27,0.00203014799990342,4.0,25347.0,31,1000,31
25284,28,0.0020442040004127193,4.0,25348.0,31,1000,31
25285,29,0.002058711000245239,4.0,25349.0,31,1000,31
25286,30,0.0020733490000566235,4.0,25350.0,31,1000,31
25287,31,0.002091934000418405,4.0,25351.0,31,1000,31
25288,32,0.002105599000060465,4.0,25352.0,31,1000,31
25289,33,0.0021196460002101958,4.0,25353.0,31,1000,31
25290,34,0.002135525000085181,4.0,25354.0,31,1000,31
25291,35,0.0021527079998122645,4.0,25355.0,31,1000,31
25292,36,0.002167024999835121,4.0,25356.0,31,1000,31
25293,37,0.0021825339999850257,4.0,25357.0,31,1000,31
25294,38,0.002199915999881341,4.0,25358.0,31,1000,31
25295,39,0.0022192420001374558,4.0,25359.0,31,1000,31
25296,40,0.002236956000160717,4.0,25360.0,31,1000,31
25297,41,0.002254599000480084,4.0,25361.0,31,1000,31
25298,42,0.002272683000228426,4.0,25362.0,31,1000,31
25299,43,0.0022908669998287223,4.0,25363.0,31,1000,31
25300,44,0.002309491999767488,4.0,25364.0,31,1000,31
25301,45,0.002327965999938897,4.0,25365.0,31,1000,31
25302,46,0.002347683000152756,4.0,25366.0,31,1000,31
25303,47,0.002368942999964929,4.0,25367.0,31,1000,31
25304,48,0.002389983000284701,4.0,25368.0,31,1000,31
25305,49,0.002409980000265932,4.0,25369.0,31,1000,31
25306,50,0.002430327999718429,4.0,25370.0,31,1000,31
25307,51,0.0024543130002712132,4.0,25371.0,31,1000,31
25308,52,0.002487105000000156,4.0,25372.0,31,1000,31
25309,53,0.0025049280002349406,4.0,25373.0,31,1000,31
25310,54,0.002522851999856357,4.0,25374.0,31,1000,31
25311,55,0.0025419679996048217,4.0,25375.0,31,1000,31
25312,56,0.0025592100000721985,4.0,25376.0,31,1000,31
25313,57,0.0025794579996727407,4.0,25377.0,31,1000,31
25314,58,0.0026019699998869328,4.0,25378.0,31,1000,31
25315,59,0.002625695000460837,4.0,25379.0,31,1000,31
25316,60,0.00264700499974424,4.0,25380.0,31,1000,31
25317,61,0.0026704789997893386,4.0,25381.0,31,1000,31
25318,62,0.0026924800004053395,4.0,25382.0,31,1000,31
25319,63,0.002716504999625613,4.0,25383.0,31,1000,31
25320,64,0.0027394480002840282,4.0,25384.0,31,1000,31
25321,65,0.0027634730004137964,4.0,25385.0,31,1000,31
25322,66,0.002784082000289345,4.0,25386.0,31,1000,31
25323,67,0.0028065639999113046,4.0,25387.0,31,1000,31
25324,68,0.0028307399998084293,4.0,25388.0,31,1000,31
25325,69,0.002854614000170841,4.0,25389.0,31,1000,31
25326,70,0.0028778380001313053,4.0,25390.0,31,1000,31
25327,71,0.0029031949998170603,4.0,25391.0,31,1000,31
25328,72,0.0029275209999468643,4.0,25392.0,31,1000,31
25329,73,0.002951626000140095,4.0,25393.0,31,1000,31
25330,74,0.002975972000058391,4.0,25394.0,31,1000,31
25331,75,0.0030011890003152075,4.0,25395.0,31,1000,31
25332,76,0.003025926000191248,4.0,25396.0,31,1000,31
25333,77,0.0030515039998135762,4.0,25397.0,31,1000,31
25334,78,0.003077082000345399,4.0,25398.0,31,1000,31
25335,79,0.003104032000010193,4.0,25399.0,31,1000,31
25336,80,0.0031315240003095823,4.0,25400.0,31,1000,31
25337,81,0.003159466000397515,4.0,25401.0,31,1000,31
25338,82,0.0031862260002526455,4.0,25402.0,31,1000,31
25339,83,0.0032138779997694655,4.0,25403.0,31,1000,31
25340,84,0.00324213099975168,4.0,25404.0,31,1000,31
25341,85,0.0032701139998607687,4.0,25405.0,31,1000,31
25342,86,0.0032975350004562642,4.0,25406.0,31,1000,31
25343,87,0.003325267000036547,4.0,25407.0,31,1000,31
25344,88,0.003353871000399522,4.0,25408.0,31,1000,31
25345,89,0.003380741000000853,4.0,25409.0,31,1000,31
25346,90,0.0034095849996447214,4.0,25410.0,31,1000,31
25347,91,0.003435434000493842,4.0,25411.0,31,1000,31
25348,92,0.0034649790004550596,4.0,25412.0,31,1000,31
25349,93,0.0034962979998454102,4.0,25413.0,31,1000,31
25350,94,0.0035243909997006995,4.0,25414.0,31,1000,31
25351,95,0.0035559899997679167,4.0,25415.0,31,1000,31
25352,96,0.003586136999729206,4.0,25416.0,31,1000,31
25353,97,0.0036160330000711838,4.0,25417.0,31,1000,31
25354,98,0.0036475320002864464,4.0,25418.0,31,1000,31
25355,99,0.0036777479999727802,4.0,25419.0,31,1000,31
25356,100,0.0037081460004628752,4.0,25420.0,31,1000,31
25357,101,0.0037403260002975003,4.0,25421.0,31,1000,31
25358,102,0.003772887000195624,4.0,25422.0,31,1000,31
25359,103,0.003804777000368631,4.0,25423.0,31,1000,31
25360,104,0.003837719000330253,4.0,25424.0,31,1000,31
25361,105,0.003870229999847652,4.0,25425.0,31,1000,31
25362,106,0.0039028009996400215,4.0,25426.0,31,1000,31
25363,107,0.003936033000172756,4.0,25427.0,31,1000,31
25364,108,0.003968343999986246,4.0,25428.0,31,1000,31
25365,109,0.004003289000138466,4.0,25429.0,31,1000,31
25366,110,0.004034837999824958,4.0,25430.0,31,1000,31
25367,111,0.004068250999807788,4.0,25431.0,31,1000,31
25368,112,0.0040989689996422385,4.0,25432.0,31,1000,31
25369,113,0.004133993999857921,4.0,25433.0,31,1000,31
25370,114,0.004167658000369556,4.0,25434.0,31,1000,31
25371,115,0.004202762999739207,4.0,25435.0,31,1000,31
25372,116,0.004238280000208761,4.0,25436.0,31,1000,31
25373,117,0.004272854999726405,4.0,25437.0,31,1000,31
25374,118,0.004308110999772907,4.0,25438.0,31,1000,31
25375,119,0.00434377800047514,4.0,25439.0,31,1000,31
25376,120,0.004379044000415888,4.0,25440.0,31,1000,31
25377,121,0.004415782999785733,4.0,25441.0,31,1000,31
25378,122,0.004452701999980491,4.0,25442.0,31,1000,31
25379,123,0.004487557999709679,4.0,25443.0,31,1000,31
25380,124,0.004523053999946569,4.0,25444.0,31,1000,31
25381,125,0.004562588000226242,4.0,25445.0,31,1000,31
25382,126,0.004603415000019595,4.0,25446.0,31,1000,31
25383,127,0.004643639999812876,4.0,25447.0,31,1000,31
25384,128,0.0046849379996274365,4.0,25448.0,31,1000,31
25385,129,0.00472574400009762,4.0,25449.0,31,1000,31
25386,130,0.0047660099999120575,4.0,25450.0,31,1000,31
25387,131,0.0048060950002764,4.0,25451.0,31,1000,31
25388,132,0.004843085000175051,4.0,25452.0,31,1000,31
25389,133,0.004885303999799362,4.0,25453.0,31,1000,31
25390,134,0.0049257199998464785,4.0,25454.0,31,1000,31
25391,135,0.004965443999935815,4.0,25455.0,31,1000,31
25392,136,0.005009636999602662,4.0,25456.0,31,1000,31
25393,137,0.005051496000305633,4.0,25457.0,31,1000,31
25394,138,0.005094365999866568,4.0,25458.0,31,1000,31
25395,139,0.005136374999892723,4.0,25459.0,31,1000,31
25396,140,0.005178714000066975,4.0,25460.0,31,1000,31
25397,141,0.005222787000093376,4.0,25461.0,31,1000,31
25398,142,0.005264184999759891,4.0,25462.0,31,1000,31
25399,143,0.005308918999617163,4.0,25463.0,31,1000,31
25400,144,0.005354623999664909,4.0,25464.0,31,1000,31
